nom	site	passage	campagne	etat	taille	vegetation_cover	connectivite	permanence	Gundlachia_radiata	Drepanotrema_lucidum	Drepanotrema_depressissimum	Drepanotrema_cimex	Drepanotrema_aeruginosum	Aplexa_marmorata	Physa_acuta	Lymnaea_columella	Lymnaea_cubensis	Plesiophysa_guadeloupensis	Biomphalaria_straminea	Biomphalaria_glabrata	Biomphalaria_schrammi	Pomacea_glauca	Pyrgophorus_coronatus	Marisa_cornuarietis	Melanoides_tuberculata_PAP	Melanoides_tuberculata_GOS	Melanoides_tuberculata_FAL	Melanoides_tuberculata_MAD	Melanoides_tuberculata_CPF	Melanoides_tuberculata_SEN	Tarebia_granifera	Neritina_virginea	Eupera_viridans	Indoplanorbis_exustus	Helisoma_duryi
Alleaume_Nord	1	4	3	f	7	0			0	0	0	0	0	-1	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	5	4	f	50	15	4	5	0	5	4	0	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	7	5	f	40	5	4	3	0	2	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	8	6	f	20	0	4	2	0	3	3	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	10	7	f	20	20	4	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	12	8	f	30	30	4	2	0	3	2	0	0	2	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	14	9	f	25	35	4	3	0	-1	-1	0	0	3	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	16	10	f	30	40	4	2	0	0	-1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	18	11	f	30	30	4	2	0	0	2	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alleaume_Nord	1	20	12	f		NA																													
