"island"	"site"
"GT"	1
"GT"	2
"GT"	3
"GT"	4
"GT"	5
"GT"	6
"GT"	7
"GT"	8
"GT"	9
"GT"	10
"GT"	11
"GT"	12
"GT"	13
"GT"	14
"GT"	15
"GT"	16
"GT"	17
"GT"	18
"GT"	20
"GT"	21
"GT"	22
"GT"	23
"GT"	25
"GT"	26
"GT"	27
"GT"	28
"GT"	29
"GT"	31
"GT"	32
"GT"	33
"GT"	34
"GT"	35
"GT"	36
"GT"	37
"GT"	38
"GT"	39
"GT"	40
"GT"	41
"GT"	42
"GT"	43
"GT"	44
"GT"	45
"GT"	46
"GT"	47
"GT"	48
"GT"	49
"GT"	50
"GT"	51
"GT"	52
"GT"	53
"GT"	54
"GT"	55
"GT"	56
"GT"	57
"GT"	59
"GT"	60
"GT"	61
"GT"	62
"GT"	63
"GT"	64
"GT"	66
"GT"	67
"GT"	68
"GT"	69
"GT"	70
"GT"	71
"GT"	72
"GT"	74
"GT"	75
"GT"	77
"GT"	78
"GT"	79
"GT"	82
"GT"	83
"GT"	84
"GT"	86
"GT"	87
"GT"	88
"GT"	89
"GT"	90
"GT"	91
"GT"	92
"GT"	93
"GT"	95
"GT"	97
"GT"	98
"GT"	101
"GT"	103
"GT"	104
"GT"	106
"GT"	107
"GT"	108
"GT"	109
"GT"	110
"GT"	111
"GT"	113
"GT"	114
"GT"	115
"GT"	116
"GT"	117
"GT"	118
"GT"	119
"GT"	120
"GT"	121
"GT"	122
"GT"	123
"GT"	124
"GT"	125
"GT"	126
"GT"	127
"GT"	128
"GT"	129
"GT"	132
"GT"	133
"GT"	134
"GT"	135
"GT"	137
"GT"	138
"GT"	139
"GT"	141
"GT"	142
"GT"	143
"GT"	144
"GT"	145
"GT"	146
"GT"	147
"GT"	148
"GT"	149
"GT"	150
"GT"	151
"GT"	152
"GT"	153
"GT"	154
"GT"	155
"GT"	156
"GT"	157
"GT"	158
"GT"	161
"GT"	162
"GT"	163
"GT"	164
"GT"	165
"GT"	166
"GT"	167
"GT"	168
"GT"	169
"GT"	170
"GT"	171
"GT"	173
"GT"	174
"GT"	175
"GT"	176
"GT"	177
"GT"	178
"GT"	181
"GT"	182
"GT"	184
"GT"	185
"GT"	187
"GT"	190
"GT"	192
"GT"	193
"GT"	194
"GT"	195
"GT"	196
"GT"	199
"GT"	200
"GT"	202
"GT"	203
"GT"	204
"GT"	205
"GT"	206
"GT"	208
"GT"	209
"GT"	210
"GT"	211
"GT"	212
"GT"	213
"GT"	214
"GT"	215
"GT"	216
"GT"	217
"GT"	218
"GT"	219
"GT"	220
"GT"	221
"GT"	222
"GT"	223
"GT"	224
"GT"	225
"GT"	226
"GT"	227
"GT"	229
"GT"	230
"GT"	231
"GT"	232
"GT"	233
"GT"	234
"GT"	235
"GT"	236
"GT"	237
"GT"	238
"GT"	239
"GT"	243
"GT"	244
"GT"	245
"GT"	248
"GT"	249
"GT"	250
"GT"	251
"GT"	254
"GT"	255
"GT"	256
"GT"	257
"GT"	258
"GT"	259
"GT"	261
"GT"	262
"GT"	263
"GT"	264
"GT"	266
"GT"	267
"GT"	268
"GT"	269
"GT"	270
"GT"	271
"GT"	272
"GT"	275
"GT"	276
"GT"	277
"GT"	278
"GT"	279
"GT"	280
"GT"	281
"GT"	282
"GT"	284
"GT"	285
"GT"	286
"GT"	287
"GT"	288
"GT"	289
"GT"	290
"GT"	291
"GT"	296
"GT"	298
"GT"	299
"GT"	300
"GT"	301
"GT"	302
"GT"	303
"MG"	80
"MG"	81
"MG"	85
"MG"	94
"MG"	96
"MG"	99
"MG"	100
"MG"	102
"MG"	105
"MG"	112
"MG"	130
"MG"	140
"MG"	159
"MG"	179
"MG"	180
"MG"	183
"MG"	188
"MG"	189
"MG"	191
"MG"	201
"MG"	228
"MG"	241
"MG"	247
"MG"	252
"MG"	253
"MG"	273
"MG"	274
"MG"	283
