Nom complet du site,Numero du site,E,N,Ile
Alleaume Nord,1,682775,1805010,GT
Alleaume Ouest,2,682525,1804810,GT
Alleaume Sud,3,682775,1804910,GT
Ancien Moulin,4,668425,1812660,GT
Balance,5,663825,1810410,GT
Balin Sud,6,664975,1810260,GT
Bamboche,7,674425,1801610,GT
Barbès,8,661025,1794960,GT
Barot Est,9,666625,1797410,GT
Barot Ouest,10,666225,1797360,GT
Barthel,11,668175,1802710,GT
Bauzon,12,662885,1797710,GT
Bazin,13,665675,1810110,GT
Beau Riz,14,660475,1821260,GT
Beau Soleil Est,15,662875,1800160,GT
Beau Soleil Ouest,16,662525,1800010,GT
Beaufond,17,661375,1820910,GT
Beauplan,18,663525,1814760,GT
Bébian,19,662625,1819410,GT
Bel Etang,20,674575,1802110,GT
Belin,21,661325,1816160,GT
Belle Allée,22,681325,1798260,GT
Belle Plaine mangrove,23,657475,1801460,GT
Belle Plaine Prairie,24,657525,1801460,GT
Belle Plaine Source,25,657475,1801510,GT
Belle-Mare,26,672275,1800210,GT
Bellevue,27,665675,1818310,GT
Bérard Nord,28,675475,1798410,GT
Besnard,29,666225,1811910,GT
Bétin,30,658475,1819610,GT
Blain (source),31,661275,1806510,GT
Blain (sous bois),32,661275,1806520,GT
Blanchard,33,669625,1807160,GT
Blonval Nord,34,679325,1798060,GT
Bois de Rose,35,666375,1796160,GT
Bois de Vipart Est,36,679325,1800110,GT
Bois de Vipart Nord,37,679425,1800310,GT
Bois de Vipart Sud,38,678775,1799960,GT
Bois Joli,39,664925,1796810,GT
Boisnormand Nord,40,666325,1821510,GT
Boisnormand Sud,41,666375,1821410,GT
Boisvin Est,42,676775,1802610,GT
Bon Air,43,667225,1809460,GT
Borricaud,44,666025,1801210,GT
Bourdon Est,45,666225,1812410,GT
Caillebot,46,674625,1804160,GT
Cambourg Est,47,668375,1800310,GT
Cambourg Ouest,48,668825,1800210,GT
Caraque Est,49,661325,1797060,GT
Caraque Ouest,50,661025,1797010,GT
Caraque Sud,51,661375,1796560,GT
Celcourt,52,678175,1801210,GT
Céligny 1,53,664025,1798310,GT
Céligny 3/Fonds Bambou,54,663675,1798160,GT
Champvert Nord,55,669975,1795260,GT
Châteaubrun,56,676025,1797510,GT
Chouloute,57,666375,1802160,GT
Cinq Etangs,58,675625,1800010,GT
Claret,59,680275,1803810,GT
Cocoyer,60,662075,1795760,GT
Couronne Conchou,61,680225,1805660,GT
Dadoud,62,668275,1816460,GT
Dampierre,63,664125,1792960,GT
David,64,662275,1801560,GT
Débarcadère,65,648125,1753410,TDB
Decostière (source),66,659625,1806660,GT
Delair,67,673375,1796310,GT
Delisle Nord,68,666075,1809910,GT
Delisle Sud,69,666125,1809710,GT
D'Enjoie,70,666175,1811410,GT
Dérangement,71,660625,1823010,GT
Déravinière,72,661925,1800460,GT
Desbonnes 1,73,683175,1800410,GT
Desbonnes GV Nord 1,74,663325,1823810,GT
Desbonnes GV Sud 1,75,663525,1823310,GT
Desbonnes GV Sud Sud,76,663425,1823160,GT
Descareaux,77,663225,1798060,GT
Deshauteurs Nord,78,667725,1797310,GT
Deshauteurs Sud 1,79,667725,1797210,GT
Désiré,80,689775,1758960,MG
Desmarais,81,680675,1764610,MG
Desvarieux Est,82,683675,1800010,GT
Desvarieux Ouest,83,683325,1799960,GT
Dévarieux,84,668175,1809210,GT
Dorot,85,686175,1765110,MG
Douville,86,674425,1798510,GT
Dubédou,87,682725,1802510,GT
Dubelloy (prairie),88,662875,1805820,GT
Dubelloy (source),89,662875,1805810,GT
Dubelloy (sous bois),90,662875,1805830,GT
Dubisquet Nord,91,666275,1802060,GT
Dubisquet Sud,92,665925,1801760,GT
Dubois,93,663425,1797460,GT
Ducos,94,685975,1757960,MG
Durival,95,669375,1808110,GT
Durocher,96,685425,1760410,MG
Duteau,97,670875,1805860,GT
Duthau,98,657975,1795610,GT
Embouchure Rivière Vieux Fort,99,681775,1768310,MG
Ermitage,100,684875,1764660,MG
Espérance,101,665925,1805110,GT
Etang Bambou,102,686375,1764310,MG
Etang Cocoyer,103,673575,1802910,GT
Etang Fromager,104,670825,1806210,GT
Etang Maillanne,105,684775,1768110,MG
Etang Secrétan,106,675475,1799810,GT
Eucher,107,669625,1796410,GT
Fauvette Nord,108,657925,1816010,GT
Fauvette Sud,109,658025,1816160,GT
Fidelin,110,664575,1801310,GT
Fond Bertrand,111,667125,1794660,GT
Fond Chat,112,686825,1762060,MG
Fond Rose,113,665325,1819860,GT
Fond Thézan,114,669325,1793710,GT
Fouché,115,670775,1796210,GT
Gaoza Mangrove,116,658125,1802210,GT
Gaoza Prairie,117,658125,1802240,GT
Gaoza Source,118,658125,1802260,GT
Gaschet,119,660375,1814060,GT
Geffrier (prairie),120,660275,1806310,GT
Gélas Abreuvoir,121,665325,1813040,GT
Gélas Est,122,665925,1813060,GT
Gélas Ouest,123,665025,1812960,GT
Gentilly Nord,124,674825,1799960,GT
Gentilly Ouest,125,674525,1799840,GT
Girard,126,667275,1811360,GT
Gorot (mare),127,683475,1797710,GT
Goudenave,128,662775,1794360,GT
Grand Bois,129,664775,1796710,GT
Grand-Anse,130,679125,1760060,MG
Grande Anse -Terre de Bas,131,647475,1753710,TDB
Grande Ravine,132,662705,1793710,GT
Grand-Maison,133,667225,1812310,GT
Grands Fonds,134,668825,1799110,GT
Grosse Roche,135,666875,1797210,GT
Gruet Nord,136,664575,1814310,GT
Gruet Sud,137,664475,1814060,GT
Jabrun,138,666175,1804160,GT
Jacotière,139,667425,1795710,GT
Jean-Louis,140,684775,1759460,MG
Kancel,141,663775,1794310,GT
Kervino,142,666575,1794760,GT
La Simonière,143,680625,1799010,GT
La Verdure,144,661775,1799410,GT
Lafont-Charropin,145,663125,1813710,GT
Lagarde,146,668175,1814710,GT
Là-haut,147,668075,1815510,GT
Lamarre,148,668675,1796860,GT
Lambert,149,663175,1797060,GT
L'Anglais,150,680775,1805410,GT
Laroche-Picard,151,666575,1807260,GT
Le Helleux Ouest,152,676825,1797210,GT
