"island"	"site"
"1"	"GT"	"1"
"2"	"GT"	"2"
"3"	"GT"	"3"
"4"	"GT"	"4"
"5"	"GT"	"5"
"6"	"GT"	"6"
"7"	"GT"	"7"
"8"	"GT"	"8"
"9"	"GT"	"9"
"10"	"GT"	"10"
"11"	"GT"	"11"
"12"	"GT"	"12"
"13"	"GT"	"13"
"14"	"GT"	"14"
"15"	"GT"	"15"
"16"	"GT"	"16"
"17"	"GT"	"17"
"18"	"GT"	"18"
"19"	"GT"	"19"
"20"	"GT"	"20"
"21"	"GT"	"21"
"22"	"GT"	"22"
"23"	"GT"	"23"
"24"	"GT"	"24"
"25"	"GT"	"25"
"26"	"GT"	"26"
"27"	"GT"	"27"
"28"	"GT"	"28"
"29"	"GT"	"29"
"30"	"GT"	"30"
"31"	"GT"	"31"
"32"	"GT"	"32"
"33"	"GT"	"33"
"34"	"GT"	"34"
"35"	"GT"	"35"
"36"	"GT"	"36"
"37"	"GT"	"37"
"38"	"GT"	"38"
"39"	"GT"	"39"
"40"	"GT"	"40"
"41"	"GT"	"41"
"42"	"GT"	"42"
"43"	"GT"	"43"
"44"	"GT"	"44"
"45"	"GT"	"45"
"46"	"GT"	"46"
"47"	"GT"	"47"
"48"	"GT"	"48"
"49"	"GT"	"49"
"50"	"GT"	"50"
"51"	"GT"	"51"
"52"	"GT"	"52"
"53"	"GT"	"53"
"54"	"GT"	"54"
"55"	"GT"	"55"
"56"	"GT"	"56"
"57"	"GT"	"57"
"58"	"GT"	"58"
"59"	"GT"	"59"
"60"	"GT"	"60"
"61"	"GT"	"61"
"62"	"GT"	"62"
"63"	"GT"	"63"
"64"	"GT"	"64"
"65"	"GT"	"66"
"66"	"GT"	"67"
"67"	"GT"	"68"
"68"	"GT"	"69"
"69"	"GT"	"70"
"70"	"GT"	"71"
"71"	"GT"	"72"
"72"	"GT"	"73"
"73"	"GT"	"74"
"74"	"GT"	"75"
"75"	"GT"	"77"
"76"	"GT"	"78"
"77"	"GT"	"79"
"78"	"MG"	"80"
"79"	"MG"	"81"
"80"	"GT"	"82"
"81"	"GT"	"83"
"82"	"GT"	"84"
"83"	"MG"	"85"
"84"	"GT"	"86"
"85"	"GT"	"87"
"86"	"GT"	"88"
"87"	"GT"	"89"
"88"	"GT"	"90"
